,Article,Date,Title,Sentiment Scores,Title Sentiment,Prediction,Prob Prediction
10,"Purdue’s Spring 2018 Presidential Lectures series, hosted by Mitch Daniels, kicked off Monday night with former US senator Bob Kerrey.Kerrey, a pharmacy graduate, discussed his life, opinions and experiences and engaged in active conversation with both Daniels and the audience.“You were a bit of a maverick in your time, we don’t see much of that these days,” Daniels pointed out.Kerrey's argument was that modern day politicians found themselves sticking to the orthodoxy of their political party. However, he repeatedly noted the hope he had for the youth in politics.“People my age encourage the youth to become cynics,” he said before encouraging young people in politics to keep a positive outlook.At the same time, the former senator made a point to argue that young people did not need to delve too far into politics, a thought shared by Daniels.“Love of country is not related to the absorption of politics,” Daniels added to Kerrey’s comments.When a young high school junior in the audience stood up and asked about gun control regulations, Kerrey said, “Young people should not be asking these kinds of questions because they’re afraid to go to school.”Having been the president of higher education institutions himself, Kerrey also felt strongly about issues like student debt. He addressed such matters by making Purdue University a positive example for what universities should be doing to reduce tuitions. These included things like implementing the tuition freeze and encouraging all students to complete their higher education.Kerrey also told the audience a bit about his experience with opioids. While serving in the US military during the Vietnam War, Kerrey had sustained injuries that required opioid treatment.“I can still taste them in my mouth,” he said, expressing sympathy for those currently going through addiction problems.The lecture concluded with a series of questions from the audience, ranging a variety of different topics that allowed the audience to interact and exchange ideas with the featured guest.",N/A,"

            
            Purdue Presidential Lectures Commence with Senator Bob Kerrey
        
",0.5113,0.0,0,0.6156798328624389
11,"INDIANAPOLIS — Gov. Eric Holcomb is working with state agency leaders to develop both short- and long-term recommendations for improving school safety in Indiana following the Feb. 14 mass shooting at a Florida high school that killed 17 students and teachers.The Republican said he met for two hours last week with every state official who has ""anything remotely to do with school safety"" to ascertain if Indiana is doing everything it can to prevent a similar incident from happening at a Hoosier school and whether the state is prepared to respond should the worst occur.He said the group agreed the best way to control what happens inside school buildings is to control who is permitted to enter the facilities.""How do we assure parents and students and teachers that only the right people are inside?"" Holcomb asked. ""That's first, taking care of that perimeter.""Once we get past that layer, then we have to make sure all of the coordination is occurring between local law enforcement and those schools.""The governor said he intends to issue recommendations for immediate action by mid-March, so members of the Indiana General Assembly can take them home to their constituents following the conclusion of the annual legislative session.""I just don't want folks in this building (the Statehouse) knowing what's going on, I want folks knowing what's going on in all 92 counties and the smallest towns out there,"" Holcomb said.Later in the year, he plans to announce long-term school safety improvements that he'll ask lawmakers to consider in the 2019 session as they craft the next two-year state budget.""If there needs to be improvement, then we're prepared to make sure that we're doing everything humanly possible to protect our students when they go to school,"" Holcomb said.Indiana already offers school safety training to educators and other school personnel, provides $10 million a year in school safety grants, permits armed school resource officers to roam building hallways and has a ""red flag"" law allowing guns to be taken from individuals deemed dangerous by a court.""What I've realized over the last week is actually Indiana is a leader on this front in many ways,"" Holcomb said. ""We've had states calling us saying, 'How did you do this or how did you do that?'""Nevertheless, Holcomb insisted there always is more that can be done because the consequences of not doing enough would be devastating.",N/A,"

            
            Indiana governor planning immediate and long-term school safety recommendations in wake of Florida shooting
        
",0.225,0.4215,0,0.6156798328624389
12,"The Indiana Supreme Court has agreed to weigh in on an insurance company's legal efforts not to pay out to the parents of 19-year-old murder victim Amanda Bach.The high court will decide whether the intentional and illegal actions by convicted murderer Dustin McCowan absolve the homeowner's insurance policy from paying out not only for him, but on his father as well under state law, according to a court document from the underlying federal case.American Family Mutual Insurance Company succeeded in dodging a claim involving McCowan by citing a clause in the family's homeowner policy that excludes liability when an action is intentional and/or in violation of the law, according the federal courts.But the federal court did not grant the insurance company the same exclusion for McCowan's father, Joseph McCowan.Joseph McCowan, a Crown Point police officer, is targeted by Bach's parents for negligently failing to secure his firearm, which was accessible to his son and is believed to have been used by him to shoot Amanda Bach on Sept. 16, 2011.The Indiana Supreme Court can be questioned about legal issues that arise in federal cases when the questions are determinative of the case and yet there is no ""clear controlling Indiana precedent,"" according to the federal court documents.The Indiana Supreme Court agreed this week to take up the issue and both sides have until June 15 to file written arguments. Oral arguments will be heard by the court June 28.William and Sandra Bach, parents of Amanda Bach, are seeking an unspecified amount of money in the suit, which targets Dustin McCowan's intentional acts under the Indiana Child Wrongful Death statute.The civil suit further accuses Joseph McCowan of contributing to the murder by not properly securing his firearms.Dustin McCowan was sentenced in March 2013 to 60 years in prison for murdering the Portage resident, who was a former girlfriend.A jury heard evidence for nearly a month before finding him guilty of shooting Bach in the throat during the early morning hours after she showed up at the Union Township home where McCowan was living. Bach's partially clothed body was found the following day less than 300 yards from the house in a wooded area along County Road 625 West at the Canadian National Railroad tracks.",N/A,"

            
            Indiana Supreme Court agrees to weigh in on civil suit stemming from 2011 murder of Portage resident Amanda Bach
        
",-0.4107,-0.0772,0,0.6156798328624389
13,"Barbara Pierce Bush, who helped propel her husband and their son to the presidency and became by virtue of her wit, self-deprecation and work on literacy one of the most popular first ladies in U.S. history, has died, according to a family spokesman.Bush, who suffered from heart and respiratory problems, was 92.On Sunday, the office of her husband of 73 years, President George H.W. Bush, said that following a series of hospitalizations, she had “decided not to seek additional medical treatment and will instead focus on comfort care.”“It will not surprise those who know her that Barbara Bush has been a rock in the face of her failing health, worrying not for herself — thanks to her abiding faith — but for others,” the statement said. “She is surrounded by a family she adores, and appreciates the many kind messages and, especially, the prayers she is receiving.”The announcement led to an outpouring of praise from the public and high-ranking officials from across the political spectrum.Bush is the second woman in U.S. history to have been the wife of one president and the mother of another. But Barbara Bush, unlike Abigail Adams, the wife of second U.S. President John Adams and mother of sixth U.S. President John Quincy Adams, lived to see her son George W. Bush inhabit the White House for two terms. She also campaigned on behalf of another son, former Florida Gov. Jeb Bush, during his unsuccessful quest for the 2016 Republican presidential nomination.While she was unpretentious, plainspoken and down-to-earth, Bush was also a Northeastern blueblood who was strong-willed, politically shrewd, always blunt and occasionally caustic.She often downplayed her own considerable skills by saying: “All I ever did was marry and birth well.”As first lady from 1989 to 1993, she sometimes had a popularity rating that was higher than her husband’s. His presidency may have been imperfect — judged successful in foreign affairs and disappointing on the domestic economic front — but the first lady wielded a behind-the-scenes influence and the skills of an effective campaigner.Part of her strength was her willingness to poke fun, particularly at herself. Her signature fashion statement was a three-strand choker of unmistakably fake pearls. Her prematurely white hair earned her a teasing family nickname, “the Silver Fox,” even as it inspired unkind gibes about looking like her husband’s mother. (He was born one year before her.)Frequent photographs of her reading to AIDS babies or underprivileged schoolchildren served to soften a toughness that she acknowledged had come to her late in life, after giving birth to six children, five of whom survive her. To her children and the White House staff, she was “the enforcer” who spoke volumes with a simple raised eyebrow.During her first year in the White House, she was criticized by Liz Carpenter, former press secretary of another first lady, Lady Bird Johnson, for refusing to speak out on issues that were important to women.In her 1994 memoir, Bush published a response that she wrote but never mailed: “Long ago I decided in life I had to have priorities. I put my children and husband at the top of my list. That’s a choice that I never regretted.” Abortion rights, the Equal Rights Amendment and gun control were not priorities for her, she wrote. “I leave that for those courageous enough to run for public office.”Because the two wives who preceded her in the White House — Rosalynn Carter and Nancy Reagan — were frequently accused of wielding too much political influence, the public may have been ready for Bush’s deference to her husband in policy matters.The nonpartisan social causes she worked for — literacy and volunteerism — stemmed from the tradition of noblesse oblige that was part of her moneyed heritage. Her dedication to philanthropic work was also rooted in personal tragedy.When her second child, a girl nicknamed Robin, died of leukemia at age 3 in 1953, Bush turned to volunteering as a way to cope with the loss. Literacy also held personal significance because Bush had helped her son Neil overcome dyslexia.Bush admitted that she shaped her public image to avoid controversy, but occasionally a wicked, sarcastic side broke through.Her most widely reported gaffe occurred in 1984 during President Ronald Reagan’s re-election campaign, when reporters chided her about her husband’s wealth. She responded by calling Democratic vice presidential nominee Geraldine Ferraro “that $4-million — I can’t say it, but it rhymes with rich.” Bush said she thought the comments were off the record; she immediately apologized.In 2005, when her son’s administration was under fire for its slow response to Hurricane Katrina, she seemed to suggest a silver lining for its victims after touring the Houston Astrodome, which was used as a relocation center for New Orleans residents. “Many of the people in the arena here, you know, were underprivileged anyway, so this is working very well for them,” she said. The administration defended the remark as a “personal observation” based on her conversations with people who were grateful for the help Texas gave them.When she was first lady, her son George said he considered her “a genius with the media” because she easily joked with reporters, according to a biography by the National First Ladies’ Library. He repeatedly called on his mother for advice while campaigning for and serving in the White House.Comments about their relationship were a staple of their political speeches, and she often reminded supporters about her son’s headstrong behavior, evident from childhood.His tenaciousness was “what you want in a president; it’s not what you want in a 6-year-old,” Barbara said during a 2005 appearance with him in Florida.“Mothers are allowed to be proud of their sons,” she told CNN anchor Larry King in 2003.Barbara Bush was born on June 8, 1925, in New York City. The third of Marvin and Pauline Pierce’s four children, she enjoyed a privileged upbringing in suburban Rye, N.Y.Her father was publisher of McCall’s magazine and a distant relative of President Franklin Pierce. She remembered her mother, the daughter of an Ohio Supreme Court justice, as remote.In 1941, at 16, Barbara met George Bush, then a prep school senior, at a country club dance. She said later that his was the most beautiful face she had ever seen. He was the first boy she kissed; they were engaged a year later, just before George went to war as a Navy fighter pilot. They married on Jan. 6, 1945, while he was home on leave.After World War II, George Bush enrolled at Yale University, and they had their first child, George Walker Bush, the next year.As the Bush family grew, they moved from Texas, where Bush worked in the oil business, to five cities in California — Compton, Huntington Park, Bakersfield, Whittier and Ventura — in a single year. After they returned to Texas, he launched his political career in 1966 with a successful run for Congress.Before George Bush became Reagan’s vice presidential nominee in 1980, the family had lived in 27 homes in 36 years. The eight years they spent in the vice presidential mansion, from 1981 to 1989, were the longest the couple had lived in one place.Her husband was absent for long stretches when her children were young, which nurtured her bond with son George, who was seven years older than his next surviving sibling, John Ellis “Jeb” Bush, born in 1953. Sons Neil and Marvin followed in 1955 and 1956, and a daughter, Dorothy, in 1959.It was while caring for Robin in the eight months before she died that Bush’s hair started going gray. Friends said the Bushes got through their grief by supporting each other. Of that time, Bush told Time magazine in 1989: “George held me tight and wouldn’t let go.”Battling depression after her daughter died, Bush overheard 7-year-old George telling a friend that he couldn’t come out because he had to play with his mother, who was lonely. She later said that moment made her realize she needed to pull herself together.Yet as her husband rose in business and politics — through two terms in the House of Representatives, stints as U.N. ambassador and Republican Party chairman — she said she sometimes felt like a neglected homebody.She had trouble shaking the feeling that George was off “doing these exciting things,” Bush joked to Time, “and I’m sitting home with these absolutely brilliant children who say one thing a week of interest.”When George was appointed U.S. envoy to China in 1974, she became important to the enterprise and thrived. She called the 14 months in China her “chrysalis.”After returning to the United States in 1976, her husband became director of the CIA, and a veil of secrecy isolated her from his work. The growing women’s movement also made her question some of her life choices. By then, only daughter Dorothy was still at home. Barbara slipped into a depression, but brought herself out of it by touring the country with a slide show on China, a country virtually closed to Americans at the time.“I really love my life, but I could have chosen not to like it,” she told the Los Angeles Times in 1988. “I chose to like it.”When she was scheduled to speak at Wellesley College’s commencement in 1990, graduating seniors protested that Bush had been chosen because of her husband’s accomplishments. She delivered her speech as planned, and received support from prominent feminists, who saw the issue as one of respect for the different paths open to women.“At the end of your life,” she said in her speech, “you will never regret not … winning one more verdict, or not closing one more deal. You will regret time not spent with a husband, a friend, a child or a parent.”After her husband lost his presidential bid for re-election to Bill Clinton in 1992, the Bushes built a home in Houston, and she delighted in being away from politics. She gardened and read voraciously.Her writings included the best-selling “Millie’s Book” (1990), told from the perspective of her English springer spaniel; it raised more than $1 million for the Barbara Bush Foundation for Family Literacy, which has awarded millions in grants. In 1984, she had written “C. Fred’s Story,” a wry look at Washington life, in the voice of the family’s cocker spaniel.During summers, the Bushes hosted the “grands,” as she called her 17 grandchildren, at the sprawling family compound in Kennebunkport, Maine, that could sleep 34. Poking fun at her strict rules, the grandchildren called it “boot camp.”Repeatedly asked the secret to her long marriage, Bush often replied that a sense of humor was important. Sixty years after their wedding, she described her husband as “that 80-year-old whirlwind who makes my life sing.”(EDITORS: BEGIN OPTIONAL TRIM)Being the mother of a president did have one distinct drawback compared with being the president’s wife, she said in 2008. The criticism and campaign attacks that go with the territory “hurt much more if your son’s president.”She continued to offer sharp opinions, such as when she was asked in 2013 whether son Jeb should make a run for the Oval Office. “We’ve had enough Bushes,” she said.But she nonetheless was at his side when he jumped into the 2016 presidential contest. Traversing snow-battered New Hampshire with the aid of a walker, she greeted Republicans and implored them to make Jeb the third Bush to serve as president. The eventual primary winner, Donald Trump, mocked her son as “poor, poor, poor” Jeb, dependent on his mother.She also campaigned in South Carolina, a state whose primary Trump also won, prompting Jeb Bush to drop out of the race.Her view of the man who would become president, and whose success marked the end of Republican politics as practiced by her family, were evident during a CBS interview shortly before the New Hampshire contest. She dismissed Trump for misogynistic comments he made about then-Fox News host Megyn Kelly.“I don’t know how women can vote for someone who said what he said about Megyn Kelly,” Bush said.She added a criticism of Trump that spoke of her, and her family’s view of public service: “Money doesn’t buy everything. It’s accomplishments and what you’re doing and giving. It’s incomprehensible to me.”In 2013, during an interview with CSPAN for a series on first ladies, Bush looked ahead to the circumstances that would close her remarkable life.“I have no fear of death,” she said, then joked: “Which is a huge comfort, because we’re getting darn close!”",N/A,"

            
            Barbara Bush, popular first lady who was also the mother of a president, dies at 92
        
",0.1844,0.4215,0,0.6156798328624389
14,"Purdue pitching coach Steve Holm was a big part of the Boilermakers’ quick two-year turnaround, earning him the opportunity to become the head coach at Illinois State.ISU Director of Athletics Larry Lyons announced the hiring of the former big leaguer Friday. Holm joined Purdue in the summer of 2016 after beginning his coaching career as an assistant at Sacramento State (2013-16). Head coach Mark Wasikowski and his two-year assistants Wally Crancer and Holm reshaped a program that was 10-44 in 2016 into an NCAA Regional qualifier with a 38-21 record just two seasons later.“Steve is a very smart and well-calculated baseball mind,” Wasikowski said in a press release. “He was a critical part of the Purdue baseball program’s turnaround over the last two years. Illinois State made an outstanding decision hiring Coach Holm. He is a proven winner!“With our program going in the right direction, Boilermakers are going to be in high demand. That applies to both the MLB Draft and opportunities for our assistant coaches. He earned an opportunity to be a head coach with his great work an assistant, both at Purdue and Sacramento State. He had a huge impact on the big improvements of our pitching staff. I couldn’t be happier for Steve, his bride Lindsey, and his wonderful young family!”""I am extremely excited to be the new head coach at Illinois State University,"" Holm said. ""I'd like to thank Dr. Larry Dietz, Larry Lyons, and Peyton Deterding for trusting me to lead the program and the 35 young men within it. There are a lot of people who have helped me get to this point, including both Reggie Christiansen and Mark Wasikowski. I am forever grateful to both of them for the opportunity they gave me as an assistant coach. Most importantly I'd like to thank each and every one of my players who have played for me. I promised my wife when she moved to California that I'd get her back close to her Midwest roots and without the efforts of those players this never would have been possible.""Holm's pitching staff was a big part of Purdue's 38-win season and NCAA Regional bid in 2018. The Boilermakers qualified for the NCAA Tournament for just the third time in program history thanks to an 8-1 start and 21-3 surge from April 20 to May 27. The pitching staff compiled a 3.01 ERA and 1.34 WHIP during the memorable 24-game run late in the season, which featured a pair of 13-game win streaks (overall and home).After the season, staff ace Tanner Andrews was selected in the 10th round of the MLB Draft by the Miami Marlins. He was Purdue's highest-drafted pitcher since 2012. Closer Ross Learnard registered a program-record 15 saves and earned third team All-America honors from Collegiate Baseball. After Learnard’s single-season record 0.58 ERA led to second team All-America honors from the NCBWA in 2017, he became the first Boilermaker to be a full-fledged All-American in consecutive seasons.In Holm's two years with the Boilermakers, the team ERA improved from 5.27 in 2016 to 4.91 in 2017 to 4.00 in 2018. The team WHIP dropped from 1.61 in 2016 to 1.44 in 2018. After being a catcher in pro ball, Holm also helped the team's catchers improve defensively. Nick Dalesandro started the final 33 games of the season at catcher and was also drafted in the 10th round this year. But most importantly, the Boilermakers’ 28-win improvement from 2016 to 2018 will go down as one of the most dramatic and ascendant turnarounds in the history of Purdue Athletics. The Boilermakers ended a four-year Big Ten Tournament drought in 2017 and finished second in the Big Ten this season, both in the final standings and at the conference tournament.""Our goal was to find the best person to lead our baseball program back to the top of the Missouri Valley Conference and to compete for postseason opportunities. In addition, we were looking for the best person to continue our high level of academic success and personal development of the young men in our program. Steve brings all of that and many more intangibles,"" Lyons said.""We feel Steve's background as an All-American shortstop, a professional catcher and collegiate pitching coach gives him the ability to make our team immediately better in every facet of the game. His success in helping programs improve in relatively short periods of time is impressive, and we are very excited Steve and his family have chosen to join the Redbird family.”",N/A,"

            
            Purdue pitching coach moves to Illinois State top job
        
",0.4166,0.2023,0,0.6156798328624389
15,"The Greater Lafayette Area will be getting one step closer to the technology of tomorrow as CityBus plans on updating their bus software.CityBus received a grant earlier this April from the Federal Transit Administration. This nearly half-million dollar grant, along with local funds, will be used for purchasing new technology to reduce crashes and ensure consumer safety. The software will help detect nearby pedestrians and cyclists, and alert the driver using colored lights mounted to the dashboard, along with a warning sound.“Little cameras on the back (of the buses),” general manager Martin Sennett said, will keep the detection program aware of nearby obstacles to look out for.According to a CityBus press release, each installation of the system will cost about $8,000 dollars per bus. The cost is more than worth the expense, though, to keep locals safe and accidents down.Out of the 73 buses CityBus owns and the hundreds of thousands of miles they drive every month, Sennett says there are about two to five accidents a month. This new software should help reduce that statistic, according to Sennett.While this new program doesn’t brake the bus automatically for the driver, completely automated fleets of buses that don’t require drivers at all are not so far off.Purdue’s own Discovery Park is working on research that may lead to normalizing autonomous cars on the interstate in as little as 10 years, according to director of the Joint Transportation Research Program Darcy Bullock.CityBus’ new detection system “is a gateway into” autonomous buses, Bullock said in an interview. “Anything we can do” to help reduce accidents is good for the community, including working toward completely automated cars.Bullock’s work at the Discovery Research Learning Center hinges around traffic signals, and the messages they can send to automated cars.“Sensing is critical,” Bullock said, noting that the three most important parts of making autonomous cars are “signs, signals and markings.”This research may not be that far off for simple routes like state roads or highways, but Bullock said getting that kind of automation to college campuses will be slightly harder. Places like school zones and university campuses will be some of the last zones to have automated transportation system due to the unpredictability of the environment, with students running in front of cars or between vehicles posing a real problem.Despite this, the future of autonomous cars and fleets of buses are not as far off into the future as some might think, and though CityBus won’t have robotic buses anytime soon, their new detection system may be the first step toward a safer, more reliable future.",N/A,"

            
            CityBus new tech marks step toward safer future
        
",0.4398,0.4215,0,0.6156798328624389
16,"A Purdue student reported this week that she was the subject of inappropriate attention from a tutor.Purdue Police Department logs state the student was at a tutoring session in the ITaP lab at Brees Academic Center. During the session, she allegedly decided the tutor was not assisting her and she would rather work alone.The report says that after she signed his paperwork, he left. Some time later, he came back, sat next to her, and proceeded to turn on an obscene YouTube video and touch himself while looking at her, according to the police log information.Police put the tutor on the University's persona non grata list, according to Purdue Police Chief John Cox. When officers found him at Brees Academic Center on Tuesday, they escorted him off campus and dropped him off at his address in Lafayette.The case has been sent to the prosecutor's office, Cox said. Charges have not yet been filed, so the Exponent is not identifying the man.",N/A,"

            
            University-hired tutor allegedly harasses Purdue student
        
",-0.1718,-0.5423,0,0.6156798328624389
17,"According to Purdue basketball social media, despite not being selected in Thursday’s NBA draft, Dakota Mathias and Isaac Haas will be getting a shot at playing professional basketball.📝 #Purdue’s @TheOriginalHaas signs free agent deal with @UtahJazz. ➡️ Third Boilermaker to get a shot in the #NBA. #BoilerUp 🚂 pic.twitter.com/8fyMwt44plThe social media account is reporting that Mathias has signed a free agent deal with Cleveland and Haas has done the same with Utah.📝 #Purdue’s @DMathias31 signs free agent deal with @NBA runner-up @cavs. ➡️ Returns to his home state to play in the #NBA. #BoilerUp 🚂 pic.twitter.com/wlobWHIPpbThe pair may join Vincent Edwards in the NBA. Edwards was drafted by Utah on Thursday night, but was acquired by Houston.OFFICIAL: The Rockets have acquired Vincent Edwards, the 52nd pick in the 2018 #NBADraft, from Utah in exchange for cash considerations. pic.twitter.com/rsGYws4P6hCongrats Dakota. No one deserves this opportunity more than you. Proud of the player you are and will become. https://t.co/Fmx4c1Jiq0Congrats Isaac! Keep working and play your game. You’re a unique player in the #NBA. Use it to your advantage. Proud of all of our seniors getting their chance. https://t.co/r2dDYUKyR7",N/A,"

            
            Mathias, Haas sign free agent deals with NBA teams
        
",0.2653,0.5106,0,0.6156798328624389
18,"In the garden behind the big, white mansion that houses the Haan Mansion Museum of Indiana Art, nine high schoolers milled around and skirted black boxes on the bare, sun-warmed planks of the museum’s newly erected stage.While three camp counselors scooted chairs all around the grass in an attempt to stay out of the sun, a leafy tree arced over the stage and shaded the performers from the worst of the 90-degree heat.“I make ‘em bear it,” head camp counselor and director Andrew Wolverton said with a grin. “I’m very hot and sweaty here. … As long as we stay well-hydrated, we’ll be alright.”Despite the heat, the members of the Civic Youth Summer Theatre Institute have continued to prepare a play about a group of summer campers for this weekend’s fourth annual ""Theatre in the Garden"" series. “Make It Happen” was created by local playwright Laurie Russell specifically for the Theatre Institute, and its actors are mostly from Harrison and West Lafayette high schools.Friday’s and Saturday’s 7 p.m. performances will mark the first time the summer campers perform on a real stage. Ellie Haan, founder of the Haan Museum, said construction on the stage started several months ago. Bob Haan and Steve Winetrout, the stage’s primary builders, are putting finishing touches on it this week in preparation for the concerts and plays to take place this weekend.Bob Haan and Steve Winetrout are putting the finishing touches on the newly built stage in the Haan Museum's Theater Garden.“It feels a lot more professional,” said Addie Gorden, a senior in high school and a two-time veteran of the summer camp that the Civic Theatre of Greater Lafayette organizes each year. Performing on the ground meant there was no separation between the actors and the audience. The grass was always full of bugs and much harder to sit on than a flat stage.Wolverton said the decision to build a stage in the garden is great for his students. The lack of fancy equipment encourages the students to take ownership of the show.They don’t have wings or lights to work with, but they practiced moving benches and boxes around to distinguish between scenes and plan to hang canopies at the edges of the stage.At the moment, transitions between scenes involve a camp counselor shouting “music, music, music, I can’t sing,” but the Haans installed electric outlets in the stage that will allow the students to use a sound system for the actual performances.“You definitely have to be a little more creative with transitions,” Wolverton said.For the past few years the summer camp has performed Shakespeare, but the more modern script allows the students to incorporate more of the skills they’ve been studying throughout the three-week summer camp, including scripted and unscripted improvisation games as well as the monologues the students used to audition for the show.Olivia Zaragoza, a sophomore in high school who plays Serena and the narrator in “Make It Happen,” said the improv games were the most challenging part of their camp experience so far. She and Gorden argued over whether “Foursquare,” the “No P” game or the “Questions” game was the hardest they’d played.“You have to just go with your first idea and work off the people around you,” Gorden said. The games could be difficult when she or the people around her had a hard time coming up with ideas in the first place.Despite the difficulties the students faced as they sought to improve their acting skills, the students have found it easy to get along. According to Gorden, it normally takes a few days for everyone to warm up to each other, but this year’s group was friendly from the get-go.Zaragoza pointed out that the group did do trust falls the very first day of camp, each person taking turns falling into the group’s arms on the tall, grassy area above the stage. Wolverton made her go second, even though she didn’t like being so high up.“I’m not scared of heights anymore,” she joked, glancing at Gorden with a smile.The Theater in the Garden performance is an opportunity for high schoolers to practice their acting skills more than they might get to during the school year. It’s also an opportunity for the Haan Museum to offer more events in their Theater Garden, which is free and open to the public 24 hours a day.“We’re looking to have a lot more things out here,” Ellie Haan said.",N/A,"

            
            Summer acting camp to perform a play about summer camp
        
",0.314,0.34,0,0.6156798328624389
19,"It has been NBA everything for the past few months, even in the college basketball scene.Three former Purdue men’s basketball players are awaiting the results of tonight’s NBA Draft, and two current players tested the waters with NBA coaches earlier this spring.With summer workouts getting underway, though, Purdue’s returning players are focusing their efforts on improving for another season with the Boilermakers.After an autograph session with summer basketball campers, the players made their way into the hallway leading to Cardinal Court for a pre-workout media session.Sophomore guard Nojel Eastern speaks with media members on June 20, immediately prior to the team's summer workouts.Sophomore guard Nojel Eastern leaned casually against the wall, recounting his experience working out with the Atlanta Hawks and the Boston Celtics before withdrawing his name from consideration in the draft.During that time, Eastern said teams talked to him about how to shape his game to be NBA-ready when the time comes.Finding a way to improve his shooting abilities, he said, was something he heard often. But coaches were also interested in how he utilized his strong, 220-pound frame, a point Eastern himself was keen on capitalizing on.Players like Ben Simmons and LeBron James, he said, are big, drive-first players he thinks he can model his game after.He was quick to acknowledge he’s not taking James’ place anytime soon, though.“I’m not saying I’m going to be LeBron,” Eastern said. “But, ya'know, we have similar characteristics, being a bigger guard than your position.”Posted against the wall opposite of Eastern was junior guard Carsen Edwards, who also put himself in front of NBA teams this spring.Edwards was given the chance to play in the NBA combine in May, where his performance didn’t meet the standards he’s set for himself.“Personally, I don’t think I played well at the combine,” he said.But he remains optimistic about his future professional prospects.“I still have so much to work on as a player,” Edwards said. “But if that’s the level you have to be at to play in the NBA, or even be considered in the NBA, I believe I can play with those guys.”Three of Purdue’s seniors who graduated in May are hoping to hear their names called in this evening’s NBA draft. Here in West Lafayette, they’re receiving plenty of support from their former teammates.“I’m excited for them,” sophomore forward Matt Haarms said, a stray strand of his now-famous, flipped-back hair dangling down toward his eye. “I know how hard they worked all those four years. They were insanely hard workers. And now, even when they're not here anymore they're still really working hard, working out for a bunch of teams. So I'll definitely be watching the draft and hoping to see their names called.”Even with all of the NBA talk going around the Boiler locker room, the players acknowledged it was time to buckle down in Mackey Arena in preparation for another successful run through March.Eastern said the hype shouldn’t be much of a distraction.“I live in the moment, ya'know. I lived in that moment when I was working out with NBA teams. It was a great experience, but now I’m back at Purdue. I’m living in the moment. Now I just want to win. Try to get to the final four. Try to help my teammates get better. Try to help myself get better.”Purdue junior guard Carsen Edwards speaks with members of the media prior to the June 20 team workouts with the coaching staff.As the media finished up and players filed into Cardinal Court, Edwards headed toward the locker room. Painter called after him, telling him practice was in the other direction.Edwards, however, needed to freshen up.“This shirt smells funky,” he said, tugging at his bright yellow shirt.Like Edwards, the Boilermakers will try to freshen up this summer, adjusting their style of play to fit their new personnel.“We’re a different team than we were last year,” Haarms said.",N/A,"

            
            Purdue basketball refreshed and ready to work
        
",0.4312,0.3612,0,0.6156798328624389
20,"In 2017, there were 93 confirmed cases of human trafficking in Indiana alone and over 8,000 reported cases in the United States.Indiana is one of many states affected by the problem of human trafficking, and being the famous “Crossroads of America” means Chicago, Detroit, Cincinnati and many other cities with trafficking problems are just a short drive away for traffickers to transport victims.Monday afternoon, Holy Trinity Lutheran Church hosted a Human Trafficking seminar to educate people on the horrors of human trafficking. The seminar has 3 sessions in total over the course of three days.Morgan Bow, the Region 4 Coalition Coordinator from the Indiana Trafficking Victims Assistant Program, trained the public on what human trafficking is and identified red flags to help better identify possible victims of trafficking.ITVAP is a grant funded organization focused on youth advocacy, delinquency prevention, informations and referrals, and community education in Indiana. They also work with 31 youth service bureaus on victim support.Tuesday, the Lafayette Police department presented and on Wednesday an attorney from the Indiana Attorney General’s Office closed out the seminar.In the church’s sanctuary, surrounded by stain glass windows, Bow started by showing a clip. The video was of Aubrey Lloyd, a survivor of sex trafficking, that had worked with ITVAP to create a series of videos. Throughout the event, clips of Aubrey Lloyd were shown to give a perspective on what trafficking is actually like from someone who has experienced it firsthand.Many hold misconceptions about human trafficking. It isn’t simply a white van with blacked-out windows, snatching someone and disappearing forever.Trafficking takes many forms, but this Hollywood depiction is far less common than many believe. In reality recruitment of a possible victim can take many months of “investment,” as Bow put it. Traffickers will often appear friendly and eventually manipulate someone into feeling alone, scared or desperate.Bow touched on a common question: Why don’t these victims just leave? In reality these traffickers use force, fraud, and coercion to manipulate victims into doing what they want, Bow said. Oftentimes, traffickers will isolate victims and use emotional abuse, economic abuse, threats and physical abuse to ensure that these victims won’t escape.During the event, Bow defined a human-trafficking victim as a person who is forced into involuntary servitude, marriage, commercial sexual conduct or any minor engaged in commercial sexual conduct.Human trafficking is prevalent nearly everywhere in the U.S., according to the Polaris Project.In January, the problem became apparent locally. Darius Jamal Brown, 27, was arrested for human trafficking, promoting prostitution and providing alcohol to minors — all right in Lafayette. Some of the industries most vulnerable to trafficking are domestic work, restaurants, health & beauty, massage parlors, construction or forestry sites, agriculture and door to door sales. Some of these, such as forestry or construction, are known as the “unseen industries” according to Bow because nobody ever questions what they see at a construction site. The site is either empty, or people appear to be working but no one would ever know if some of the workers are forced, unpaid labor.The Polaris Project’s website says labor trafficking has increased but remains underreported because of a lack of awareness.The number for the Indiana Child Abuse Hotline is 800-800-5556 and for National Human Trafficking Hotline is 888-37-37-888.",N/A,"

            
            Human trafficking seminar aims to prepare, educate on a local problem
        
",-0.1793,-0.4019,0,0.6156798328624389
