,Lyrics,Show,Song Name
10,"A little bit at the beginning
A little more later on
Watching all the good things grow
That's how the world goes on
Take a look at the river
Pouring into the bay
And you see all the good things growing better every day Well, take a look at a baby
Sleeping on his mama's arm
Plan to love him when he's small
Will grow him safe and strong
Take a look at the sunshine
Pouring out on the day
And you see all the good things growing better every day",Sesame Street,Sesame Street A Little Bit (at The Beginning) lyrics
11,,Sesame Street,Sesame Street A New Way To Walk lyrics
12,"Sesame Street - A Really Good Feeling
When you want to hug somebody
Because they make you feel good
When you find that somebody
Lifts you up and makes you feel good
When you really mean ""I'm sorry""
When you hurt somebody's feelings
Then you know that love's a feeling
That's a really good feeling to have
Love is what you feel
When you feel you want to sing
Love is what you feel
About your most favorite thing
Love is a feeling
Everybody likes to feel
Yes love is a very good feeling to have
When you want to touch somebody
Because they make you feel good
When you feel pride in somebody
Cheers you up and makes you feel good
One thing will make you happy
And you want to share the feeling
Then you know that it's a feeling
That's a really good feeling to have
Love is what you feel
When you feel you want to sing
Love is what you feel
About your most favorite thing
Love is a feeling
Everybody likes to feel
Yes love is a really good feeling to have
Yes love is a really good feeling to have
A really good feeling to have!",Sesame Street,Sesame Street A Really Good Feeling lyrics
13,,Sesame Street,Sesame Street A Really Good Feeling (alternate Version) lyrics
14,"A song from Kermit, to wish you well
To say I hope you're feeling absolutely swell
A song from Kermit, to send you cheer
To say I miss you and I wish that you were here
It may sound fairly croaky like it's not the song for you
But with every note there's a lump in my throat
So I hope you're listening to
A song from Kermit
To let you see
I hope we'll always be as close as we can be
And if you like my song from Kermit
Maybe you'll like me
La la la dee dee, la la ta dum........
I hope we'll always be as close as we can be
And if you like my song from Kermit
Maybe you'll like me",Sesame Street,Sesame Street A Song From Kermit lyrics
15,"This is a song without a reason a song without a rhyme
A song you sing because you feel like singing do do do do
Well you don't need rhyme or reason to sing a happy song
do do do do do do do do do do do do do do do do do do do This is a song without a reason a song without a rhyme
A song that you can sing or hum or whistle do do do do
Well you don't need rhyme or reason to sing a happy song
do do do do do do do do do do do do do do do do do do do You can sing it high or low
You can sing it fast or slow
It doesn't matter . . . .
do do do do do do do do do do This is a song without a reason a song without a rhyme
A song that doesn't even have an ending do do do do
La la la la la la la (etc.)",Sesame Street,"Sesame Street A Song Without A Reason, A Song Without A Rhyme lyrics"
16,,Sesame Street,Sesame Street A Very Simple Dance lyrics
17,"Guy Smiley: Hi, this is Guy Smiley, and this here is Adrian. (Adrian is a cute, orange, lady muppet, he hugs her) Adrian: (giggle) Hello! Guy: Adrian starts with the letter A, just like the alphabet. Here's a song about the way I feel about her. (Guy and Adrian start walking past a row of alphabet blocks. As he sings, he tosses each block to the ground.) Guy: (sings) A, you're adorable
B, you're so beautiful
C, you're a cutie full of charms
D, you're a darling
And E, you're exciting
And F, you're a feather in my arms Adrian: (giggles) A feather-that tickles! Guy: G, you look good to me
H, you're so heavenly
I, you're the one I idolize
J, we're like Jack and Jill
K, you're so kissable
L is the love light in your eyes
M, N, O, P, I could go on all day
Q, R, S, T, alphabetically speaking, you're okay
U made my life complete
V means you're very sweet
W, X, Y, Z
It's fun to wander through the alphabet with you
To tell you what you mean to me (Just then Cookie Monster marches up, demanding--) Cookie Monster: Where's my blocks?! Adrian: EEEEEEKKK!!!!!! (She runs off, leaving Guy looking very embarassed. As he begins the second half, he starts hurriedly picking up blocks. Each time, Cookie Monster grabs it away and eats it in that ab-ab way of his.) Guy: (speaks, the tune still playing) Well, here's A ... and B ... C ... D ... and E ... and F ... Gee! ... H ... Cookie Monster: I! Where's I? Guy: Here's I! ... and J ... and K ... and here's L .... M, N, O, P, I could go on all day-- CM: Do! Do! (ab-ab-ab) Guy: (hurriedly now) Q, R, S, T,--alphabetically speaking, you're okay--U! V! W X Y Z! It's fun to wander through! The alphabet with you! And tell you what you mean to me! (Runs off) Cookie Monster: (just before he eats the last block) Bye bye!",Sesame Street,"Sesame Street A, You're Adorable lyrics"
18,"ABC-DEF-GHI-JKL-MNOP-QRSTUV-WXYZ
It's the most remarkable word I've ever seen
ABC-DEF-GHI-JKL-MNOP-QRSTUV-WXYZ
I wish I knew exactly what I mean
It starts out like an ""A"" word as anyone can see
But somewhere in the middle it gets awful ""QR"" to me
ABC-DEF-GHI-JKL-MNOP-QRSTUV-WXYZ
If I ever find out just what this word can mean
I'll be the smartest bird the world has ever seen! It might be kind of an elephant
Or a funny kind of kazoo
Or strange, exotic turtle
You never see in a zoo
Or maybe a kind of a doggie
Or particular shade of blue
Or maybe a pretty flower
Naah, not with a name like that, Uh uh! ABC-DEF-GHI-JKL-MNOP-QRSTUV-WXYZ
It's the most remarkable word I've ever seen
ABC-DEF-GHI-JKL-MNOP-QRSTUV-WXYZ
I wish I knew exactly what I mean
It starts out like an ""A"" word as anyone can see
But somewhere in the middle it gets awful ""QR"" to me
ABC-DEF-GHI-JKL-MNOP-QRSTUV-WXYZ
If I ever find out just what this word can mean
I'll be the smartest bird the world has ever seen!",Sesame Street,Sesame Street Abc-def-ghi lyrics
19,"Spoken:
Neurotic Man: Oh, no, what do I do now?! Maria: Hello? Neurotic Man: Oh, thanks for coming back, I have another problem! Maria: Another problem? Neurotic Man: Yeah! Maria: What is it this time? Neurotic Man: Look! Everything! It's all abierto! Sung:
Can't get my window to keep out the snow, 'cause it's abierto (abierto)
Can't keep warm when the cold wind blows, my coat's abierto (abierto)
Folks keep arriving, I don't know whom
All day long they come into my room
They go to the closet and they take my broom, my door's abierto (abierto)
It's horrible! Arrrgggh! Can't put this book back on the shelf 'cause it's abierto (abierto)
Can't chew my food, can't feed myself, my mouth's abierto (abierto)
My chickens ran away without a peep
My horse was something I couldn't keep
The same can be said for my flock of sheep, my barn's abierto (abierto)
It's horrible! Can you help me out fellas?
""Abierto"" is the word that got me mopin' Maria: ""Abierto"" is the Spanish word for ""open"" Neurotic Man: My eyes never let me sleep at night, they stay abierto (abierto)
My hamper can't keep my dirty laundry out of sight 'cause it's abierto (abierto)
My milk all went sour and my cheese went bad
I lost all the ice cream that I ever had
'Cause my fridge is abierto and that makes me mad, 'cause it's abierto (abierto)
Abierto (abierto), I hate abierto (abierto), abierto (abierto), abierto! Spoken:
Ya see my problem? Everything's abierto! Maria: Yes, I can see that, everything is open. Neurotic Man: Can ya fix it? Huh? Can ya? Maria: I think I can fix this situation. Neurotic Man: Oh, good, good, good, you're a genius! Maria: Sure. What you need is this ... (opens her toolbox and pulls out the word ""cerrado"") Neurotic Man: Cerrado? Maria: Cerrado! Everything is abierto, which is the Spanish word for ""open"", and this is ""cerrado"", which is the Spanish word for ""closed"". Cerrado! (everything he sang about now closes) Neurotic Man: Wow, unreal! Cerrado. You're the best fixer in the whole world. Maria: Sure, nothing to it. Glad to help.",Sesame Street,Sesame Street Abierto lyrics
20,"Above it all, I love to fly
Above it all, there in the sky
The world below, above was I
I was above it all! Below, some folks slept in a house
Below those folks, there crept a mouse
Below the mouse, the beetle sat
Below is not where I was at Above it all, I love to fly
Above it all, there in the sky
The world below, above was I
I was above it all! Below, some dudes went for a sail
Below those dudes, there swam a whale
Below the whale, a submarine
Below is not where I was seen Above it all, I love to fly
Above it all, there in the sky
The world below, above was I
I was above it all! And then one day, I heard a sound
Came from above, turned me around
To my surprise, I saw a dove!
I was below, he was above! Above the dove, clouds were in flight
Above the clouds, sun shining bright
I asked the dove, ""is something wrong?""
""Oh, no,"" he said, ""just change your song."" Above it all, I love to fly
Below it too, there in the sky
Above it now, below am I
Above, below it all!
(Above, below it all!)
Above, below it all!
(Above, below it all!)
Above, below it all!
(Above, below it all!)
At last I know it all!
(At last I know it all!)
Above, below it all!",Sesame Street,Sesame Street Above It All lyrics
21,"When you've got a cold in your nose
And you stop to sniffle and blow
Don't let your sneeze get away from you
Ah-ah, ah-ah, ah-ah-choo!
Keep it to yourself, it's easy to do Carry tissue when you go
On a bus out to a show
Ah-ah-ah-ah-ah-ah-ah-ah-ah-ah-choo!
Don't let your cold get away from you Whether you're at home or school
Don't forget this simple rule
Don't give your cold to someone else
Ah-ah, ah-ah, ah-ah-choo!
Now every time you have to sneeze
Cover your nose, please",Sesame Street,Sesame Street Achoo! lyrics
22,"spoken: Okay, all you cats 'n kiddies, it's time for a little addition! Can you dig it?! Here we go! Now ... sung: Adding is putting together, hmmm
Adding is just what you do
If I have one cookie and you have one cookie
Together they add up to two
One cookie and one cookie makes two cookies
One and one is two
That's two, whoo! Yeah, outta sight! Adding is putting together, hmmm
And I'm sure you will agree, yeah
If you have two cookies and I have one cookie
Together they add up to three
Two cookies and one cookie make three cookies
Two and one is three, oh! Dig it! Hmm-hmm Adding is putting together, hmmm
Adding is making it more
If you have three cookies, add one more cookie
This time the answer is four
Three cookies and one cookie make four cookies
Three and one is four, whoo! Cookie Monster: Hey, cookies! Hey, what you doing? Hippie: Singing about addition. Cookie Monster: Why you not sing about subtraction? Hippie: Subtraction? Cookie Monster: Yeah, sure. I'll show you. Subtracting is taking away from, hohooh
Subtraction is my kind of fun (now listen, see)
When you have four cookies and I see four cookies
I subtract them and leave you with none (haha, now see this)
Four cookies minus four cookies is no cookies, ha
And now my song is done And so are the cookies! (sounds of Cookie Monster eating) Both: Oh yeah!!!! Hippie: Outta sight! Cookie Monster: Yeah!",Sesame Street,Sesame Street Adding lyrics
23,"An adventure is something we promise is going to excite you
(Hahh-ah-ah-ah-ahh)
An adventure is something as thrilling as it can be
(Hahh-ah-ah-hah-ah-ah-ahhh)
Adventures make wonderful stories and so we invite you, yeah
(Hoo-hoo-hoo-hoo-hooooooh)
To hear about something that happened to my friends and me.
(Hah-ah-ah-ah-ah. Hah-ah-ah-ah-ahhhhhhhh. Oh!) (Spoken) Here we go! Took off in Elmo's jet
(his jet)
A ride we won't forget
(won't forget)
And bailed out just below a huge tall mountain
We climbed for hours and hours
(and hours)
Then found some spooky towers
(spooky towers)
Inside we helped a fellow with his counting chorus:
Adventure!
We swear to you
Adventure!
Our story's true
We had an adventure today
We had an adventure
Oh, what a thrill
Adventure!
Say what you will
It really happened to us just this way We opened up the door
(Opened up a door)
And saw a dinosaur
(Uh-oh! A dinosaur)
He was chasing Ernie but that boy got lucky
Quick thinking saved the day
(Saved the day)
We scared that beast away
(Get Back!)
With just a squeak or two from rubber duckie repeat chorus (Go! Go! Go! Go!... continues under next verse) With the help of a map that I carry in my pocket
We found our way aboard a trashcan rocket. OW!
Went further out of space than any other singers
And landed on Saturn with some honkers and dingers
We made it back home with the help of Super Grover
Hey, that was some adventure. Too bad it's over repeat chorus Fades out (another suggestion for the previously missing line that now reads ""And landed on Saturn..."" was this): ""I tell you myself, I met some honkers and dingers""",Sesame Street,Sesame Street Adventure lyrics
24,"Amazingly
Beautiful
Creatures
Dancing
Excites the
Forest
Glade, in my
Heart how
I do
Jump like the
Kudo
Listen to the
Music so
Nice the
Organ
Plays.
Quietly
Rests the
Sleepy
Tiger
Under the
Vine tree at the
Water's side and
X marks the spot 'neith the
Yellow moon where the
Zulu king and I did hide.",Sesame Street,Sesame Street African Alphabet lyrics
25,"(spoken) Waylon Jennings: So you are the bird on the run, huh? Big Bird: Oh, yeah! And I can't wait to get back to my real home on Sesame Street! I figure I can walk back there in, oh, about, uh, three hours. Jennings: Three hours? More like three weeks, buddy. Big Bird: Three weeks? Oh, no! I'll never get home. Jennings: Sure you will. You just gotta keep going. Pick up your feet and follow your beak. Big Bird: Oh, I don't know. Jennings: Listen to me, son. (sung) I found out a long time ago
You gotta learn to say ""yes"" when life says ""no""
Don't dwell on the bad times once they're past
That kind of thinking gets you nowhere fast 'Cause there ain't no mountain you can't climb
If you hang on tight and just make up your mind
Once you set your heart to movin' on
Son, there ain't no road too long (Gordon, Olivia, and Cookie Monster are in a yellow Volkswagen, looking for Big Bird. Gordon is driving. They're all singing, unless it says otherwise.) Gordon: Don't look back; don't you turn around! Olivia: Just keep your eye on where you're bound! Gordon and Olivia: And you're bound to get from here to there
'Cause a dream can take you anywhere! Cookie Monster (spoken): Oh! Take me to cookies! Super Grover: 'Cause there ain't no mountain you can't climb
If you hang on tight and just make up your mind Count von Count: And once you set your heart to moving on, hut, hut
Then there is no road too long!
(Spoken) And you can count the telephone poles! One telephone pole, two telephone poles, three telephone poles, four telephone poles! (Oscar is driving Maria and Telly in his Sloppy Jalopy. Maria is looking at a road map.) (spoken) Maria: Oscar, this isn't Route 12! Oscar : Picky, picky, picky. Telly: Oh, no! Maria (as the Sloppy Jalopy lurches down a rolling field): Oh, oh! Oscar: I never promised you a rose garden! (Ernie is piloting Bert in an airplane as they look for Big Bird) Ernie: Oh, we're gonna find him all right, Bert! Bert: Yeah. Ernie: Hey, you remember what color he is? Bert: What? Ernie: He's yellow! Bert: Ernie! (Ernie laughs and flies right over the truck without seeing Big Bird!) (sung) Big Bird: 'Cause there ain't no mountain you can't climb
If you hang on tight and just make up your mind!
And once you set your heart to movin' on
Yeah, there ain't no road too long Jennings: Ain't no mountain you can't climb! Big Bird (spoken): That's right! Jennings: If you hang on tight and just make up your mind! Big Bird (spoken): Uh huh! Jennings: Once you set your heart to movin' on! Big Bird (spoken): Sing it! Jennings: There ain't no road too long!
There ain't no road too long! Big Bird: There ain't no road too long! Jennings: No, there ain't no road too long! Big Bird (spoken): You're right! If I just keep on going, everything will turn out fine.",Sesame Street,Sesame Street Ain't No Road Too Long lyrics
26,"Listen up, America
We've got something great for you!
It's something you can feel and breathe and even see right through
It isn't something you can smell
Or taste or eat or see
And please don't send us money --
It's absolutely free Oh yes, it's air, air, air
It's the bargain of the day
Air, air, air
Doesn't look like much but, hey!
It's handy when you're working
It's handy when you play
So get some air, air, air
It'll blow you right away! Oh, you can breathe it with your mouth Or you can breathe it through your nose
And when you take your shoes off, you can feel it on your toes
It isn't purple, green, or pink
Or red or white or blue
It's kind of hard to spot it, but
It's always there for you No taste! No waste!
No tell tale smell, it's swell!
Oh yes, it's air air air
Send for your supply today
Air, air, air from Maine to Monterey
Americans just love it
They breathe it night and day
So get some air air air
It'll blow you right away!",Sesame Street,Sesame Street Air lyrics
27,"You should see me tie my shoe
Hear me add up two and two
Things that I can do all by myself I can take my bath alone
Draw a picture of my own
I used to need help from my mom and my father
Now that I'm big well I don't have to bother I can button up my shirt
Use a spoon to eat dessert
Even reach the books way high on the shelf
There are so many things I can do all by myself See me pour a glass of juice
Wiggle my front tooth that's loose
Things that I can do all by myself I can say my alphabet
There's not a letter I'll forget
I don't need help from my dad or my mother
Don't need to ask my yucchy big brother You should see me brush my hair
And pick out the clothes I'll wear
Even reach my toys way high on the self
It's amazing but it's true
All the things that I can do
All the things that I can do all by myself
It makes me proud it makes me happy
it makes me wanna shout
Cause that's what's being 6 years old is about
There's so many things I can do all by myself",Sesame Street,Sesame Street All By Myself lyrics
28,"Sometimes I want to get away
Off someplace where I can play
All by myself
Well, why not?
Sometimes I just need the time
To think about stuff while I'm
All by myself
I do it a lot
Well, why not?",Sesame Street,"Sesame Street All By Myself ... Well, Why Not? lyrics"
29,"Got my hat on my head,
Got my scarf round my neck,
I'm all dressed up and ready to go.
Got my earmuffs on my ears to keep me warm;
Galoshes on my feet to weather the storm. Oh, got my coat on my back,
Got my gloves on my hands,
No matter now if winter winds blow;
'Cause with my hat on my head,
And my scarf round my neck,
I'm all dressed up and ready to go. Got my galosh on my head,
Got my gloves on my ears,
We're all dressed up and ready to go.
Got earmuffs round my waist to keep me warm;
My scarf goes on my nose to weather the storm. Got my coat on my face,
Got my hat on my hands,
No matter now if winter winds blow;
'Cause with my galosh on my head,
And my gloves on my ears,
We're all dressed up and ready to go. 'Cause with our hats on our heads,
And our scarves round our necks,
And my earmuffs on ears, and galoshes on feet,
And my coat on my back, and our gloves on our hands,
Then we know -- See! --
That you're all dressed up and ready to go!",Sesame Street,Sesame Street All Dressed Up lyrics
30,"If you feel that you can't go on
Because all of your hope is gone
And the lights filled with much confusion
Until patriotism is just an illusion
And the world around is crumbling down
Darling!
Reach out
Reach out for me
All the americans are dead
To give you all the love you need
All the americans are dead
You can always count on me
When you feel lost
And about to give up
Because your best ain't good enough
And you feel the world has blown cold
And your crippling out all on your own
And you need a hand to help
Darling!
Reach out for me
Reach out for me
All the americans are dead
With a love that will shatter you
All the americans are dead
With a love that will see you through
All the americans are dead
With a love that will shatter you
All the americans are dead
With a love that will see you through
I can tell the way you hang your head
Your in love, but now your afraid
And through your tears you look around
But there's no piece of mind to be found
Your alone now with nobody of your own
Darling!
Reach out
Reach out for me
All the americans are dead
With a love that will shatter you
All the americans are dead
With a love that will see you through
All the americans are dead
With a love that will shatter you
All the americans are dead
With a love that will see you through",Sesame Street,Sesame Street All The Americans Are Dead lyrics
31,"Big Man [bellows throughout his lines]: Hey you!!!
Nebbish: Yes?
Big Man: A! B! C-D-E!!!
Nebbish: Please don't shout at me.
Big Man [rips a daisy out of the ground without permission]: F! G! H-I-J!!!
Nebbish: Won't you please go away?
Big Man [plucks petals off the daisy as he names each letter]: K! L! M-N-O!!!
Nebbish: Really, sir, I wish you'd go.
Big Man: P! Q! R-S-T!!!
Nebbish: Why do you keep bugging me?
Big Man: U! V! W-X-Y!!!
Nebbish [produces a lemon meringue pie from somewhere behind him]: How'd you like a lemon pie?
Big Man: Z!!!
Nebbish [splats the Big Man's face with the pie, chuckling]: Free.",Sesame Street,Sesame Street Alphabet Bully lyrics
